utterance_id,model,reference_length_tokens,rigid_errors,rigid_substitutions,rigid_deletions,rigid_insertions,rigid_wer_percent,lattice_errors,lattice_wer_percent,delta_wer_percent,improved,unchanged,worsened
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,Model n,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model H,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model i,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model k,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model l,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model m,6,5,5,0,0,83.33333333333334,0.0,0.0,83.33333333333334,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,Model n,6,1,0,0,1,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model H,5,2,1,0,1,40.0,0.0,0.0,40.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model i,5,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model k,5,3,2,0,1,60.0,0.0,0.0,60.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model l,5,2,1,0,1,40.0,0.0,0.0,40.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model m,5,2,2,0,0,40.0,0.0,0.0,40.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,Model n,5,2,1,0,1,40.0,0.0,0.0,40.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model H,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model i,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
